Species	logAv	Class	logLDA	p
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Swingsia.s__Swingsia_samuiensis	0	Negative	2.153167931	0.046097785
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Intrasporangiaceae.g__Phycicoccus.s__Phycicoccus_sp__HDW14	0	Negative	2.788924448	0.015602951
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lacticaseibacillus.s__Lacticaseibacillus_rhamnosus	4.414555588	Negative	3.97024579	0.043070534
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Profundibacter.s__Profundibacter_amoris	0	Negative	2.039123879	0.034834021
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_butyricum	3.319723681	Negative	3.012147504	0.049156877
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Marinomonas.s__Marinomonas_foliarum	0	Negative	2.02315045	0.009343405
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_sp__RtIB026	0	Negative	2.364412753	0.032827661
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__Methylobacterium.s__Methylobacterium_phyllosphaerae	0.270947846	Negative	2.208062975	0.027493143
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.s__Enterobacteriaceae_endosymbiont_of_Macroplea_mutica	0	Negative	2.183722018	0.015602951
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_intestinalis	3.834057399	Negative	3.291958314	0.037597088
d__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Halogeometricum.s__Halogeometricum_borinquense	0	Negative	2.715169319	0.015602951
d__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales.f__Synergistaceae.g__Cloacibacillus.s__Cloacibacillus_porcorum	2.183183846	Negative	2.015824576	0.024183371
d__Bacteria.p__Tenericutes.c__Mollicutes.o__Entomoplasmatales.f__Spiroplasmataceae.g__Spiroplasma.s__Spiroplasma_phoeniceum	0	Negative	2.817276735	0.032827661
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_epidermidis	2.324581694	Negative	2.044245054	0.007601641
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactiplantibacillus.s__Lactiplantibacillus_plantarum	2.438635582	Negative	2.037137448	0.002643258
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_sp__S35	0	Negative	2.493070069	0.015602951
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycolicibacterium.s__Mycolicibacterium_thermoresistibile	0	Negative	2.342096211	0.041701553
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Anaerotignum.s__Anaerotignum_propionicum	3.462145904	Negative	2.91181514	0.021222582
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_aureus	3.134398772	Negative	2.749108382	0.012395368
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Microbacteriaceae.g__Microbacterium.s__Microbacterium_sp__4R_513	0	Negative	2.481865139	0.037665571
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Aeromonas.s__Aeromonas_simiae	0	Positive	2.11169701	0.030377601
d__Bacteria.p__Cyanobacteria.o__Synechococcales.f__Synechococcaceae.g__Synechococcus.s__Synechococcus_sp__PCC_7003	0	Positive	2.441857031	0.021609117
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Curvibacter.s__Curvibacter_sp__AEP1_3	0	Positive	2.272087209	0.021090744
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Blautia.s__Blautia_producta	4.276803245	Positive	3.901849068	9.40E-05
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Advenella.s__Advenella_kashmirensis	0	Positive	2.016175235	0.037557538
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.g__Paenibacillus.s__Paenibacillus_glucanolyticus	2.502696455	Positive	2.190131859	0.000455832
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Limnohabitans.s__Limnohabitans_sp__63ED37_2	0	Positive	2.262473755	0.043853172
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_xinjiangensis	0	Positive	2.43960368	0.030778804
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycolicibacterium.s__Mycolicibacterium_aichiense	0	Positive	2.139164486	0.039639986
d__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__Fusobacterium_gonidiaformans	2.557729504	Positive	2.232031231	0.03969608
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Zoogloeaceae.g__Azoarcus.s__Azoarcus_sp__DD4	0	Positive	2.213297469	0.008154377
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_lactucae	0	Positive	2.301541001	0.021609117
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Hungatella.s__Hungatella_hathewayi	3.993118679	Positive	3.656363081	0.000118329
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae.g__Aminobacter.s__Aminobacter_sp__MSH1	0	Positive	2.122824659	0.04173602
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Paraburkholderia.s__Paraburkholderia_phymatum	0	Positive	2.064279191	0.049992834
d__Bacteria.p__Cyanobacteria.o__Synechococcales.f__Synechococcaceae.g__Synechococcus.s__Synechococcus_sp__CC9902	2.421539053	Positive	2.173678825	1.12E-05
d__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Dokdonia.s__Dokdonia_sp__PRO95	0	Positive	2.695222355	0.042613807
d__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Dokdonia.s__Dokdonia_sp__Dokd_P16	0	Positive	2.044378085	0.042613807
d__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Sulfurovaceae.g__Sulfurovum.s__Sulfurovum_sp__NBC37_1	0	Positive	2.304087478	0.042613807
d__Bacteria.p__Chlorobi.c__Chlorobia.o__Chlorobiales.f__Chlorobiaceae.g__Prosthecochloris.s__Prosthecochloris_sp__CIB_2401	0	Positive	2.13333432	0.000946377
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_bolteae	4.730732524	Positive	4.339539612	6.61E-05
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Blautia.s__Blautia_hansenii	3.554011254	Positive	2.852887982	0.002409044
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Streptomycetales.f__Streptomycetaceae.g__Streptomyces.s__Streptomyces_sp__S8	0	Positive	2.263959785	0.021609117
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Francisellaceae.g__Francisella.s__Francisella_sp__LA112445	0	Positive	2.236095756	0.042613807
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Propionibacteriales.f__Nocardioidaceae.g__Nocardioides.s__Nocardioides_sp__S_713	0	Positive	2.32442043	0.005233553
d__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Weeksellaceae.g__Chryseobacterium.s__Chryseobacterium_sp__3008163	0	Positive	2.194584892	0.022719989
d__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Gemmatales.f__Gemmataceae.g__Gemmata.s__Gemmata_massiliana	0	Positive	2.359791285	0.018814681
d__Archaea.p__Euryarchaeota.c__Thermococci.o__Thermococcales.f__Thermococcaceae.g__Thermococcus.s__Thermococcus_kodakarensis	0	Positive	2.625449975	0.042613807
