GeneID	GeneDescription	logAv	Class	logLDA	p
K06890	K06890_uncharacterized_protein	2.861561476	Negative	2.258522081	0.035090018
K22083	K22083_methylamine---glutamate_N-methyltransferase_subunit_C_-EC2-1-1-21-	2.671204658	Positive	2.288598021	1.21E-05
K15977	K15977_putative_oxidoreductase	2.729972794	Positive	2.046815753	0.015491386
K07040	K07040_DUF177_domain-containing_protein	3.385933199	Positive	2.789102539	0.00219397
K16885	K16885_quinone-modifying_oxidoreductase-_subunit_QmoA	3.241460882	Positive	2.719125733	0.002994259
K18919	K18919_protein_HokC/D	2.986160226	Positive	2.559114359	0.017027435
K06911	K06911_quercetin_2-3-dioxygenase_-EC1-13-11-24-	3.288912629	Positive	2.676982779	0.024559545
K18827	K18827_O-antigen_chain-terminating_bifunctional_methyltransferase/kinase_-EC2-1-1--_2-1-1-294_2-7-1-181-	2.820835347	Positive	2.158159623	0.027451101
K22405	K22405_NADH_oxidase_-H2O-forming-_-EC1-6-3-4-	3.088840618	Positive	2.561372306	0.007043123
K18920	K18920_protein_HokA	3.565184342	Positive	3.19260173	0.023911069
K01104	K01104_protein-tyrosine_phosphatase	2.854437078	Negative	2.242506983	0.003803074
K00759	K00759_adenine_phosphoribosyltransferase_-EC2-4-2-7-	2.814704264	Negative	2.141888855	0.003803074
K03402	K03402_transcriptional_regulator_of_arginine_metabolism	2.612469069	Negative	2.062688591	0.003634622
K00873	K00873_pyruvate_kinase_-EC2-7-1-40-	3.147424002	Negative	2.604003191	0.005895055
K08483	K08483_phosphotransferase_system-_enzyme_I-_PtsI_-EC2-7-3-9-	3.019669386	Negative	2.403283264	0.043070534
K00850	K00850_6-phosphofructokinase_1_-EC2-7-1-11-	3.081172897	Negative	2.318575	0.008973176
K01537	K01537_Ca2+-transporting_ATPase	2.818307605	Negative	2.22186337	0.008261977
K03048	K03048_DNA-directed_RNA_polymerase_subunit_delta	2.681579255	Negative	2.235329919	0.013914207
K02028	K02028_polar_amino_acid_transport_system_ATP-binding_protein	2.825146884	Negative	2.338751273	0.001498231
K07497	K07497_putative_transposase	2.98145386	Negative	2.389907837	0.035090018
K00948	K00948_ribose-phosphate_pyrophosphokinase_-EC2-7-6-1-	2.78991037	Negative	2.083936148	0.02643857
K03499	K03499_trk_system_potassium_uptake_protein_TrkA	3.101163446	Negative	2.520499454	0.02643857
K03497	K03497_chromosome_partitioning_protein-_ParB_family	2.917644929	Negative	2.247002777	0.049202789
K07025	K07025_putative_hydrolase_of_the_HAD_superfamily	2.778878664	Negative	2.23772411	0.02643857
K01810	K01810_glucose-6-phosphate_isomerase_-EC5-3-1-9-	2.951442909	Negative	2.215074717	0.015675202
K01874	K01874_methionyl-tRNA_synthetase_-EC6-1-1-10-	2.702940856	Negative	2.005815347	0.002898116
K03436	K03436_DeoR_family_transcriptional_regulator-_fructose_operon	2.661499086	Negative	2.224912762	0.011404224
K02346	K02346_DNA_polymerase_IV	2.720059871	Negative	2.163186626	0.01144592
K03697	K03697_ATP-dependent_Clp_protease_ATP-binding_subunit_ClpE	2.629638715	Negative	2.083024015	0.006418421
K03590	K03590_cell_division_protein_FtsA	2.682686974	Negative	2.106409469	0.016926803
K02487	K02487_type_IV_pili_sensor_histidine_kinase_and_response_regulator	2.609340391	Negative	2.126780568	0.036315672
K04086	K04086_ATP-dependent_Clp_protease_ATP-binding_subunit_ClpL	2.912084418	Negative	2.53090945	0.045434913
K01915	K01915_glutamine_synthetase_-EC6-3-1-2-	2.910814883	Negative	2.09755418	0.006421104
K04691	K04691_serine_protease_DegS	2.746944289	Negative	2.257714233	0.040254977
K09819	K09819_manganese/iron_transport_system_permease_protein	2.390054186	Negative	2.108409871	0.02751408
K02795	K02795_PTS_system-_mannose-specific_IIC_component	2.764112921	Negative	2.243088189	0.036315672
K07483	K07483_transposase	2.95482306	Negative	2.312853177	0.037597088
K02775	K02775_PTS_system-_galactitol-specific_IIC_component	2.687020898	Negative	2.212208168	0.049202789
K00970	K00970_poly-A-_polymerase_-EC2-7-7-19-	3.036763195	Negative	2.514595151	0.01144592
K01621	K01621_xylulose-5-phosphate/fructose-6-phosphate_phosphoketolase_-EC4-1-2-9_4-1-2-22-	2.38910447	Negative	2.011904277	0.006931834
K00520	K00520_mercuric_reductase	3.151540573	Positive	2.454184305	0.010522336
K03878	K03878_NADH-ubiquinone_oxidoreductase_chain_1_-EC1-6-5-3-	2.510530366	Positive	2.196163777	0.028530336
K06204	K06204_DnaK_suppressor_protein	2.614257797	Positive	2.099896733	0.007347065
K07400	K07400_Fe/S_biogenesis_protein_NfuA	2.636309848	Positive	2.027643765	0.004196616
K02867	K02867_large_subunit_ribosomal_protein_L11	3.362346616	Positive	2.557006963	0.02643857
K02864	K02864_large_subunit_ribosomal_protein_L10	3.514485716	Positive	2.894264988	0.002898116
K06412	K06412_stage_V_sporulation_protein_G	2.875594571	Positive	2.343248436	0.020134407
K06418	K06418_small_acid-soluble_spore_protein_A_-major_alpha-type_SASP-	3.866563285	Positive	3.260436341	0.010767172
K04764	K04764_integration_host_factor_subunit_alpha	2.508721443	Positive	2.103240372	0.024542749
K02888	K02888_large_subunit_ribosomal_protein_L21	3.638762269	Positive	2.963792297	0.005408169
K02884	K02884_large_subunit_ribosomal_protein_L19	3.614859679	Positive	2.953582196	0.022851785
K02887	K02887_large_subunit_ribosomal_protein_L20	3.529461533	Positive	2.797026471	0.02643857
K04488	K04488_nitrogen_fixation_protein_NifU_and_related_proteins	3.173924004	Positive	2.453250494	0.001232626
K02355	K02355_elongation_factor_EF-G	3.493481319	Positive	2.555697605	0.013413923
K07322	K07322_regulator_of_cell_morphogenesis_and_NO_signaling	2.810621107	Positive	2.412301191	0.002654115
K02986	K02986_small_subunit_ribosomal_protein_S4	3.441854112	Positive	2.693671827	0.007601641
K09458	K09458_3-oxoacyl--acyl-carrier-protein-_synthase_II_-EC2-3-1-179-	2.723998937	Positive	2.05003	0.032727073
K10670	K10670_glycine_reductase	3.227799433	Positive	2.574197077	0.003824047
K10672	K10672_betaine_reductase	3.055349188	Positive	2.40005595	0.006829531
