GeneID	GeneDescription	logAv	Class	logLDA	p
K01104	K01104_protein-tyrosine_phosphatase	2.990400006	Negative	2.714865262	0.041829106
K00643	K00643_5-aminolevulinate_synthase_-EC2-3-1-37-	2.303624625	Negative	2.013308559	0.035203787
K09359	K09359_mating-type_protein_A2	2.392429277	Negative	2.132003516	0.032827661
K03457	K03457_nucleobasecation_symporter-1-_NCS1_family	2.986137066	Negative	2.707230086	0.002600401
K08967	K08967_1-2-dihydroxy-3-keto-5-methylthiopentene_dioxygenase_-EC1-13-11-53_1-13-11-54-	2.614067001	Negative	2.305063806	0.026953421
K14548	K14548_U3_small_nucleolar_RNA-associated_protein_4	2.272743492	Negative	2.018848415	0.035203787
K14457	K14457_2-acylglycerol_O-acyltransferase_2_-EC2-3-1-22-	2.885145269	Negative	2.620084422	0.01614143
K08516	K08516_synaptobrevin_homolog_YKT6	2.725614971	Negative	2.475316025	0.033966845
K19848	K19848_signaling_mucin_HKR1	2.250433028	Negative	2.044469562	0.020923287
K05543	K05543_tRNA-dihydrouridine_synthase_2	2.360703734	Negative	2.029485399	0.03986238
K04718	K04718_sphingosine_kinase_-EC2-7-1-91-	2.413829968	Negative	2.058006546	0.048173431
K00789	K00789_S-adenosylmethionine_synthetase_-EC2-5-1-6-	2.576000699	Negative	2.240243178	0.041070974
K10969	K10969_alpha_1-3-mannosyltransferase_-EC2-4-1-	2.320680428	Negative	2.013402666	0.037665571
K10956	K10956_protein_transport_protein_SEC61_subunit_alpha	2.565360728	Negative	2.302154298	0.041829106
K01301	K01301_glutamate_carboxypeptidase_II	2.916318724	Negative	2.592977098	0.012800231
K11838	K11838_ubiquitin_carboxyl-terminal_hydrolase_7_-EC3-4-19-12-	2.547622459	Negative	2.272372951	0.044502778
K04348	K04348_serine-threonine-protein_phosphatase_2B_catalytic_subunit_-EC3-1-3-16-	2.336277304	Negative	2.016735155	0.038395122
K14826	K14826_FK506-binding_nuclear_protein_-EC5-2-1-8-	2.693638471	Negative	2.459779216	0.041829106
K06639	K06639_cell_division_cycle_14_-EC3-1-3-16_3-1-3-48-	2.019469523	Negative	2.159928435	0.032827661
K17086	K17086_transmembrane_9_superfamily_member_2-4	2.447984739	Negative	2.106534572	0.029495744
K11582	K11582_shugoshin	2.728598193	Negative	2.43434019	0.032827661
K11272	K11272_mediator_of_replication_checkpoint_protein_1	2.494254202	Negative	2.203308328	0.015602951
K12823	K12823_ATP-dependent_RNA_helicase_DDX5-DBP2_-EC3-6-4-13-	2.907039505	Negative	2.622114455	0.037866072
K00058	K00058_D-3-phosphoglycerate_dehydrogenase_-EC1-1-1-95-	2.299301118	Negative	2.031802857	0.030056244
K00728	K00728_dolichyl-phosphate-mannose-protein_mannosyltransferase_-EC2-4-1-109-	3.036554267	Negative	2.745656079	0.041652207
K01892	K01892_histidyl-tRNA_synthetase_-EC6-1-1-21-	2.972797905	Negative	2.631382692	0.045519563
K02145	K02145_V-type_H+-transporting_ATPase_subunit_A_-EC3-6-3-14-	2.880220262	Negative	2.546923976	0.01623375
K03495	K03495_glucose_inhibited_division_protein_A	4.059626621	Negative	3.690833707	0.038395122
K03035	K03035_26S_proteasome_regulatory_subunit_N5	2.660587	Negative	2.353802643	0.045519563
K11873	K11873_ubiquitin_carboxyl-terminal_hydrolase_10	2.322386466	Negative	2.030386328	0.041829106
K09313	K09313_homeobox_protein_cut-like	2.665534907	Negative	2.348966225	0.027493143
K14572	K14572_midasin	2.687045603	Negative	2.30433514	0.037712484
K18670	K18670_dual_specificity_protein_kinase_YAK1_-EC2-7-12-1-	2.64776221	Negative	2.259834942	0.038395122
K00700	K00700_1-4-alpha-glucan_branching_enzyme_-EC2-4-1-18-	3.085528737	Negative	2.743858303	0.016871972
K11315	K11315_transcriptional_adapter_3	2.744954776	Negative	2.353356041	0.019131183
K00414	K00414_ubiquinol-cytochrome_c_reductase_core_subunit_1	2.912089135	Negative	2.538896093	0.041829106
K00415	K00415_ubiquinol-cytochrome_c_reductase_core_subunit_2	3.043436807	Negative	2.76133672	0.007144664
K00413	K00413_ubiquinol-cytochrome_c_reductase_cytochrome_c1_subunit	2.767234376	Negative	2.402862846	0.0248488
K00418	K00418_ubiquinol-cytochrome_c_reductase_subunit_8	3.16609079	Negative	2.895291653	0.029497902
K06665	K06665_glucose_repression_mediator_protein	2.530921314	Negative	2.172105708	0.041829106
K11098	K11098_small_nuclear_ribonucleoprotein_F	2.271667777	Negative	2.039824124	0.032827661
K03441	K03441_aquaglyceroporin_related_protein-_other_eukaryote	2.29103316	Negative	2.013894881	0.03986238
K02132	K02132_F-type_H+-transporting_ATPase_subunit_alpha	3.468240045	Negative	3.145118353	0.034758471
K02136	K02136_F-type_H+-transporting_ATPase_subunit_gamma	2.652097274	Negative	2.419936726	0.029495744
K12261	K12261_2-hydroxyacyl-CoA_lyase_1_-EC4-1-	3.048661446	Negative	2.707559177	0.024736822
K01431	K01431_beta-ureidopropionase_-EC3-5-1-6-	2.349563933	Negative	2.035032892	0.015602951
K06653	K06653_CDK_inhibitor_PHO81	2.499278999	Negative	2.1535095	0.049480682
K02118	K02118_V-A-type_H+-Na+-transporting_ATPase_subunit_B	3.388748277	Positive	3.088977676	0.042613807
K03798	K03798_cell_division_protease_FtsH	2.953475548	Positive	2.586043472	0.042613807
K03694	K03694_ATP-dependent_Clp_protease_ATP-binding_subunit_ClpA	2.98043365	Positive	2.614068213	0.021609117
K01187	K01187_alpha-glucosidase_-EC3-2-1-20-	3.050592303	Positive	2.75231657	0.042613807
K09424	K09424_Myb-like_DNA-binding_protein_REB1	2.69547412	Positive	2.548239023	0.049480682
